詞彙,漢語拼音,詞類
哎呀,āiya ,Ptc
哎喲,āiyāo ,Ptc
愛好,àihào ,N
愛好,àihào ,Vst
愛護,àihù ,Vst
愛人,àirén ,N
安慰,ānwèi ,V
安裝,ānzhuāng ,V
按,àn ,V
按時,ànshí ,Adv
暗,àn ,Vs
暗中,ànzhōng ,Adv
骯髒,āngzhāng ,Vs
熬,áo ,V
拔,bá ,V
把,bă ,M
把握,băwò ,N
罷工,bàgōng ,Vi
罷了,bàle ,Ptc
擺脫,băituō ,V
敗,bài ,Vp
拜,bài ,V
拜拜,bàibài ,Vi
拜訪,bàifăng ,V
拜年,bàinián ,V-sep
拜託,bàituō ,V
般,bān ,
班,bān ,M
班長,bānzhăng ,N
搬運,bānyùn ,V
拌,bàn ,V
半路,bànlù ,N
半數,bànshù ,Det
辦公,bàngōng ,Vi
辦事,bànshì ,Vi
扮演,bànyăn ,V
傍晚,bāngwăn ,N
磅,bàng ,M
棒,bàng ,M
棒子,bàngzi ,N
包裹,bāoguǒ,N
包括,bāokuò ,Vst
包裝,bāozhuāng ,N
包裝,bāozhuāng ,V
保,băo ,V
保持,băochí,V
保存,băocún,V
保留,băoliú ,V
保衛,băowèi ,V
保障,băozhàng ,N
保障,băozhàng ,V
寶寶,băobao,N
抱,bào ,Vst
報,bào ,V
報仇,bàochóu,V-sep
報答,bàodá,Vpt
報導,bàodăo,V
報到,bàodào,Vi
報警,bàojĭng ,V-sep
報社,bàoshè ,N
暴力,bàolì ,N
暴躁,bàozào ,Vs
爆炸,bàozhà ,Vp
悲劇,bēijù ,N
悲痛,bēitòng ,Vs
倍,bèi ,N
備,bèi ,V
背面,bèimiàn ,N
奔,bēn ,Vi
奔跑,bēnpăo ,Vi
本來,běnlái ,Vs-attr
本領,běnlĭng,N
本身,běnshēn ,N
本土,běntŭ ,N
笨重,bènzhòng ,Vs
比,bĭ,V
比方,bĭfāng ,N
比方(說),bĭfāng(shūo),Vst
比較,bǐjiào ,N
比較,bĭjiào ,V
比例,bĭlì ,N
彼此,bĭcĭ ,N
筆,bĭ,M
筆記,bĭjì ,N
筆試,bĭshì ,N
筆試,bĭshì ,Vi
閉,bì ,Vi
必須,bìxū ,Vs-attr
必要,bìyào ,N
編,biān ,V
扁,biăn ,Vs
便,biàn ,Adv
便利,biànlì ,Vs
變動,biàndòng ,N
變動,biàndòng ,Vp
標題,biāotí ,N
標誌,biāozhì ,N
表格,biăogé ,N
表情,biăoqíng ,N
表揚,biăoyáng ,V
冰,bīng ,Vs
丙,bĭng ,N
並,bìng ,Adv
並,bìng ,Conj
並且,bìngqiě ,Conj
病毒,bìngdú ,N
病房,bìngfáng ,N
撥,bō ,V
菠菜,bōcài ,N
波動,bōdòng ,Vi
玻璃,bōlí ,N
薄,bó ,Vs
薄弱,bóruò ,Vs
伯父,bófù ,N
伯母,bómŭ ,N
不大,búdà ,Adv
不當,búdàng ,Vs
不到,búdào ,Vst-sep
不顧,búgù ,Vst-sep
不過,búguò ,Adv
不見得,bújiàndé ,Adv
捕,bŭ ,V
補,bŭ ,V
補償,bŭcháng ,V
補充,bŭchōng ,V
補課,bŭkè ,V-sep
補習,bŭxí ,V-sep
補助,bŭzhù ,N
補助,bŭzhù ,V
步,bù ,M
不安,bùān ,Vs
不成,bùchéng ,Vs-pred
不得已,bùdéyĭ,Vs
不敢當,bùgăndāng ,Vs
不僅,bùjĭn ,Conj
不良,bùliáng,Vs
不平,bùpíng ,Vs
不然,bùrán ,Conj
不如,bùrú ,Vst
不許,bùxŭ ,Adv
不宜,bùyí ,Vs
不由得,bùyóude ,Adv
不止,bùzhǐ ,Vs-pred
部隊,bùduì ,N
部長,bùzhăng ,N
布/佈告,bùgào,N
布/佈告欄,bùgàolán ,N
財產,cáichăn ,N
財富,cáifù ,N
才能,cáinéng ,N
裁判,cáipàn ,N
裁員,cáiyuán ,Vpt
踩,căi ,V
採,căi ,V
採購,căigòu ,V
彩色,căisè ,Vs-attr
參與,cānyù ,V
蠶,cán ,N
慚愧,cánkuì ,Vs
慘,căn ,Vs
倉庫,cāngkù ,N
藏,cáng ,V
操心,cāoxīn ,Vs
操作,cāozuò ,V
冊,cè ,M
策略,cèlüè ,N
測量,cèliáng ,V
測試,cèshì ,V
測驗,cèyàn ,N
測驗,cèyàn ,V
差,chā,N
差錯,chācuò ,N
差距,chājù ,N
插,chā ,V
插花,chāhuā ,Vi
插圖,chātú ,N
茶館/茶館兒,cháguăn/cháguănr,N
茶會,cháhuì ,N
茶葉,cháyè ,N
拆,chāi ,V
產,chăn ,V
產量,chănliàng ,N
產業,chănyè ,N
嘗/嚐,cháng,V
嘗/嚐試,chángshì ,N
常識,chángshì ,N
長處,chángchù ,N
長度,chángdù ,N
長方形,chángfāngxíng ,N
長久,chángjiŭ ,Vs
長途,chángtú ,Vs-attr
場,chăng ,M
場地,chăngdì ,N
場合,chănghé ,N
場所,chăngsuŏ ,N
廠商,chăngshāng ,N
抄,chāo ,V
鈔票,chāopiào ,N
超出,chāochū ,Vpt
超人,chāorén ,N
超越,chāoyuè ,V
超重,chāozhòng ,Vp
朝,cháo ,Prep
潮流,cháoliú ,N
潮溼/濕,cháoshī ,Vs
吵鬧,chăonào ,Vi
車票,chēpiào ,N
扯,chě,V
徹底,chèdǐ ,Vs
沉,chén ,Vp
陳列,chénliè ,V
稱,chēng ,V
撐,chēng ,V
成,chéng ,M
成,chéng ,Vpt
成本,chéngběn ,N
成分/份,chéngfèn ,N
成交,chéngjiāo ,Vp
成立,chénglì ,Vpt
成天,chéngtiān ,Adv
成為,chéngwéi ,Vpt
成語,chéngyŭ ,N
乘,chéng ,V
乘客,chéngkè ,N
誠懇,chéngkěn ,Vs
誠意,chéngyì ,N
呈現,chéngxiàn ,Vpt
程序,chéngxù ,N
吃虧,chīkuī ,Vs
遲,chí ,Vp
遲早,chízăo ,Adv
尺寸,chĭcùn ,N
翅膀,chìbăng ,N
沖,chōng ,V
充分/份,chōngfèn ,Vs
充滿,chōngmăn ,Vpt
充足,chōngzú ,Vs
重,chóng ,Adv
崇拜,chóngbài ,Vst
崇高,chónggāo ,Vs
抽屜,chōutì ,N
愁,chóu ,Vs
出,chū ,Vst
出產,chūchăn  ,Vst
出境,chūjìng ,Vp
出口,chūkŏu ,V
出色,chūsè ,Vs
出身,chūshēn ,Vpt
出事,chūshì ,Vp-sep
出售,chūshòu ,V
出席,chūxí ,V
出院,chūyuàn ,Vi
初,chū ,Adv
初步,chūbù ,Adv
初步,chūbù ,Vs-attr
初級,chūjí ,Vs
除,chú ,Prep
除,chú ,V
除,chú ,Vst
除非,chúfēi ,Conj
儲存,chúcún ,V
儲蓄,chúxù ,Vi
處,chŭ ,M
處罰,chŭfá ,V
處,chù ,V
處處,chùchù ,Adv
傳,chuán ,V
傳播,chuánbò ,V
傳達,chuándá ,V
傳單,chuándān ,N
傳染,chuánrăn ,V
傳說,chuánshuō ,N
傳說,chuánshuō ,V
傳送,chuánsòng ,V
傳統,chuántŏng ,N
傳真,chuánzhēn ,V
窗口,chuāngkŏu ,N
床,chuáng ,M
床單,chuángdān ,N
幢,chuáng ,M
闖,chuăng ,V
創作,chuàngzuò ,N
春季,chūnjì ,N
春假,chūnjià ,N
純,chún ,Vs
磁帶,cídài ,N
詞典,cídiăn ,N
詞彙,cíhuì ,N
辭職,cízhí ,Vi
此外,cĭwài ,Conj
刺,cì ,V
刺激,cìjī ,V
次數,cìshù ,N
從,cóng ,Adv
從此,cóngcĭ,Adv
從沒,cóngméi ,Adv
從事,cóngshì ,Vst
湊,còu ,V
粗,cū ,Vs
粗心,cūxīn ,Vs
促進,cùjìn ,V
催,cuī ,V
存款,cúnkuăn ,N
搓,cuō ,V
錯過,cuòguò ,Vpt
錯字,cuòzì ,N
措施,cuòshī ,N
答,dá ,V
答案,dáàn ,N
達到,dádào ,Vpt
打,dă ,M
打扮,dăbàn ,Vi
打包,dăbāo ,V
打斷,dăduàn ,Vpt
打擾,dărăo ,V
打算,dăsuàn ,N
打招呼,dăzhāohū ,V-sep
打針,dăzhēn ,V-sep
打字,dăzì ,V-sep
大半,dàbàn ,Det
大便,dàbiàn ,N
大膽,dàdăn ,Vs
大地,dàdì ,N
大都,dàdōu ,Adv
大哥,dàgē ,N
大哥大,dàgēdà ,N
大街,dàjiē ,N
大力,dàlì ,Adv
大量,dàliàng ,Det
大腦,dànăo ,N
大清早,dàqīngzăo ,N
大嫂,dàsăo ,N
大腿,dàtuĭ ,N
大型,dàxíng ,Vs-attr
大意,dàyì ,Vs
大有,dàyŏu ,Vst
大致,dàzhì ,Adv
大眾,dàzhòng ,N
大自然,dàzìrán ,N
待會/待會兒,dāihuĭ/dāihuĭr,Adv
待,dài,V
代,dài ,N
代,dài ,V
代表,dàibiăo ,Vs
代溝,dàigōu ,N
代價,dàijià ,N
代理,dàilĭ ,V
帶動,dàidòng ,V
帶路,dàilù ,Vi
帶子,dàizi ,N
大夫,dàifū ,N
貸款,dàikuăn ,N
貸款,dàikuăn ,V-sep
待遇,dàiyù ,N
單,dān ,Adv
單調,dāndiào ,Vs
單位,dānwèi ,N
單子,dānzi ,N
擔保,dānbăo ,V
耽誤,dānwù ,V
膽量,dănliàng ,N
膽小,dănxiăo,Vs
蛋白質,dànbáizhí ,N
誕生,dànshēng ,Vp
當初,dāngchū ,N
當時,dāngshí ,N
當選,dāngxuăn ,Vpt
當中,dāngzhōng ,N
擋,dăng ,V
檔案,dăngàn ,N
當,dàng ,Vst
倒楣,dăoméi ,Vs
導演,dăoyăn ,V
導遊,dăoyóu ,N
倒,dào ,V
道,dào ,M
道路,dàolù ,N
到達,dàodá ,Vpt
得分,défēn ,Vs-sep
得獎,déjiăng ,V-sep
得了,déle ,
得罪,dézuì ,Vpt
